X__gid,cod,tipo,cveigecem,nom_mun,deleg,cveinegi,nom_reg,num_reg,uso,tipologia,valm2,distrito_centro,area,distrito1_nombre,distrito1_puntos,distrito2_nombre,distrito2_puntos,distrito3_nombre,distrito3_puntos,distrito4_nombre,distrito4_puntos,distrito5_nombre,distrito5_puntos,suma
2878,4,I3,86,LA PAZ,Nezahualcóyotl,15070,Chimalhuacán,III,Industrial mediana,Industrial,NA,192,5464043.652,81,4,82,2,182,2,184,16,185,6,30
3576,2,I3,98,NAUCALPAN DE JUÁREZ,Naucalpan de Juárez,15057,Naucalpan,VIII,Industrial mediana,Industrial,NA,110,2500044.438,17,1,18,12,102,1,105,19,109,1,34
3686,2,H2,87,NEZAHUALCÓYOTL,Nezahualcóyotl,15058,Nezahualcoyotl,IX,Habitacional popular,Habitacional,NA,178,6882474.715,35,1,82,5,85,3,176,6,177,20,35
876,20,H1,44,AXAPUSCO,Texcoco,15016,Ecatepec,V,Habitacional precario,Habitacional,NA,171,701577.5412,171,36,0,0,0,0,0,0,0,0,36
1934,4,H2,94,ECATEPEC DE MORELOS,Ecatepec de Morelos,15033,Ecatepec,V,Habitacional popular,Habitacional,NA,151,9419251.425,30,7,149,1,150,15,151,21,152,2,46
1942,12,I3,94,ECATEPEC DE MORELOS,Ecatepec de Morelos,15033,Ecatepec,V,Industrial mediana,Industrial,NA,158,6997881.888,140,1,147,3,148,13,149,24,150,19,60
6597,37,H3,8,TULTITLÁN,Ecatepec de Morelos,15109,Tultitlán,XIV,Habitacional interés social,Habitacional,NA,145,7798697.918,136,8,137,2,142,8,143,2,144,42,62
6892,27,H2,37,VILLA DEL CARBÓN,Naucalpan de Juárez,15112,Cuautitlán Izcalli,IV,Habitacional popular,Habitacional,NA,122,463116.3884,122,63,0,0,0,0,0,0,0,0,63
5549,37,I1,120,TEQUIXQUIAC,Ecatepec de Morelos,15096,Zumpango,XVI,Industrial económica,Industrial,NA,134,6910883.78,134,64,0,0,0,0,0,0,0,0,64
1957,6,H1,14,ECATZINGO,Nezahualcóyotl,15034,Amecameca,I,Habitacional precario,Habitacional,NA,207,1448485.967,207,74,0,0,0,0,0,0,0,0,74
3591,97,H2,98,NAUCALPAN DE JUÁREZ,Naucalpan de Juárez,15057,Naucalpan,VIII,Habitacional popular,Habitacional,NA,107,2549038.128,100,1,102,1,103,22,104,42,105,10,76
879,8,H1,44,AXAPUSCO,Texcoco,15016,Ecatepec,V,Habitacional precario,Habitacional,NA,171,1882949.239,171,79,0,0,0,0,0,0,0,0,79
3695,3,H2,87,NEZAHUALCÓYOTL,Nezahualcóyotl,15058,Nezahualcoyotl,IX,Habitacional popular,Habitacional,NA,183,7607281.689,179,19,180,16,181,6,182,23,183,17,81
1441,4,H2,85,CHIMALHUACÁN,Texcoco,15031,Chimalhuacán,III,Habitacional popular,Habitacional,NA,186,3747016.924,173,9,183,1,185,1,186,60,187,12,83
622,20,H1,116,APAXCO,Ecatepec de Morelos,15010,Zumpango,XVI,Habitacional precario,Habitacional,NA,134,57912.35323,134,84,0,0,0,0,0,0,0,0,84
2125,126,H1,117,HUEYPOXTLA,Ecatepec de Morelos,15036,Zumpango,XVI,Habitacional precario,Habitacional,NA,134,3461519.322,134,86,0,0,0,0,0,0,0,0,86
4918,7,H2,48,TEMASCALAPA,Ecatepec de Morelos,15084,Ecatepec,V,Habitacional popular,Habitacional,NA,171,411506.3058,171,87,0,0,0,0,0,0,0,0,87
2111,102,H1,117,HUEYPOXTLA,Ecatepec de Morelos,15036,Zumpango,XVI,Habitacional precario,Habitacional,NA,134,1993450.18,134,88,0,0,0,0,0,0,0,0,88
6596,14,H1,7,TULTEPEC,Ecatepec de Morelos,15108,Tultitlán,XIV,Habitacional precario,Habitacional,NA,136,6318361.302,131,5,135,9,136,63,144,2,145,10,89
3724,1,H2,99,NICOLÁS ROMERO,Naucalpan de Juárez,15060,Naucalpan,VIII,Habitacional popular,Habitacional,NA,120,7372819.882,111,7,117,1,119,24,120,54,121,5,91
2015,19,H1,3,HUEHUETOCA,Naucalpan de Juárez,15035,Cuautitlán Izcalli,IV,Habitacional precario,Habitacional,NA,133,1832678.155,133,93,0,0,0,0,0,0,0,0,93
3696,15,H2,87,NEZAHUALCÓYOTL,Nezahualcóyotl,15058,Nezahualcoyotl,IX,Habitacional popular,Habitacional,NA,182,3373185.156,82,17,83,2,181,4,182,67,183,3,93
6897,6,H1,37,VILLA DEL CARBÓN,Naucalpan de Juárez,15112,Cuautitlán Izcalli,IV,Habitacional precario,Habitacional,NA,122,7158568.673,122,93,0,0,0,0,0,0,0,0,93
2084,115,H1,117,HUEYPOXTLA,Ecatepec de Morelos,15036,Zumpango,XVI,Habitacional precario,Habitacional,NA,134,1079243.896,134,94,0,0,0,0,0,0,0,0,94
629,22,I3,116,APAXCO,Ecatepec de Morelos,15010,Zumpango,XVI,Industrial mediana,Industrial,NA,134,405162.6898,134,96,0,0,0,0,0,0,0,0,96
2053,28,I2,3,HUEHUETOCA,Naucalpan de Juárez,15035,Cuautitlán Izcalli,IV,Industrial ligera,Industrial,NA,133,687177.8911,133,98,0,0,0,0,0,0,0,0,98
6796,10,H2,122,VALLE DE CHALCO SOLIDARIDAD,Nezahualcóyotl,15122,Amecameca,I,Habitacional popular,Habitacional,NA,199,4830077.168,194,36,195,2,199,30,200,21,201,9,98
5951,68,H1,92,TLALNEPANTLA DE BAZ,Naucalpan de Juárez,15104,Tlalnepantla,XII,Habitacional precario,Habitacional,NA,112,226618.1805,112,69,115,11,127,6,128,12,0,0,98
6823,37,E1,122,VALLE DE CHALCO SOLIDARIDAD,Nezahualcóyotl,15122,Amecameca,I,Equipamiento,Equipamiento,NA,201,68134.66578,201,55,203,43,0,0,0,0,0,0,98
668,119,H1,81,ATENCO,Ecatepec de Morelos,15011,Texcoco,XI,Habitacional precario,Habitacional,NA,173,628412.8147,169,13,173,86,0,0,0,0,0,0,99
1925,193,C3,94,ECATEPEC DE MORELOS,Ecatepec de Morelos,15033,Ecatepec,V,Comercial alto,Comercial,NA,161,283634.0262,158,1,159,7,161,90,162,1,0,0,99
726,50,H4,100,ATIZAPÁN DE ZARAGOZA,Naucalpan de Juárez,15013,Tlalnepantla,XII,Habitacional residencial medio,Habitacional,NA,118,1076657.767,116,13,118,78,127,8,0,0,0,0,99
741,117,H2,100,ATIZAPÁN DE ZARAGOZA,Naucalpan de Juárez,15013,Tlalnepantla,XII,Habitacional popular,Habitacional,NA,111,175208.6688,111,53,120,46,0,0,0,0,0,0,99
1249,111,C2,9,CHALCO,Nezahualcóyotl,15025,Amecameca,I,Comercial medio,Comercial,NA,203,247509.2776,203,83,206,16,0,0,0,0,0,0,99
5649,94,H2,79,TEXCOCO,Texcoco,15099,Texcoco,XI,Habitacional popular,Habitacional,NA,189,122613.5891,174,17,189,82,0,0,0,0,0,0,99
1467,20,H2,85,CHIMALHUACÁN,Texcoco,15031,Chimalhuacán,III,Habitacional popular,Habitacional,NA,190,152716.0568,188,36,190,38,191,25,0,0,0,0,99
1470,59,H3,93,COACALCO DE BERRIOZÁBAL,Ecatepec de Morelos,15020,Tultitlán,XIV,Habitacional interés social,Habitacional,NA,143,104843.8912,143,80,146,19,0,0,0,0,0,0,99
1496,53,H3,93,COACALCO DE BERRIOZÁBAL,Ecatepec de Morelos,15020,Tultitlán,XIV,Habitacional interés social,Habitacional,NA,141,234933.3518,141,79,147,20,0,0,0,0,0,0,99
1506,61,C3,93,COACALCO DE BERRIOZÁBAL,Ecatepec de Morelos,15020,Tultitlán,XIV,Comercial alto,Comercial,NA,143,31557.17926,141,1,143,98,0,0,0,0,0,0,99
1814,43,H3,94,ECATEPEC DE MORELOS,Ecatepec de Morelos,15033,Ecatepec,V,Habitacional interés social,Habitacional,NA,158,284682.0341,158,88,162,11,0,0,0,0,0,0,99
1662,67,H2,121,CUAUTITLÁN IZCALLI,Naucalpan de Juárez,15121,Cuautitlán Izcalli,IV,Habitacional popular,Habitacional,NA,128,683659.7471,112,9,115,7,128,67,129,16,0,0,99
1710,143,H4,121,CUAUTITLÁN IZCALLI,Naucalpan de Juárez,15121,Cuautitlán Izcalli,IV,Habitacional residencial medio,Habitacional,NA,124,2247778.365,123,33,124,34,126,31,127,1,0,0,99
1726,65,H3,121,CUAUTITLÁN IZCALLI,Naucalpan de Juárez,15121,Cuautitlán Izcalli,IV,Habitacional interés social,Habitacional,NA,127,2425877.217,112,8,127,74,128,17,0,0,0,0,99
1741,157,E1,121,CUAUTITLÁN IZCALLI,Naucalpan de Juárez,15121,Cuautitlán Izcalli,IV,Equipamiento,Equipamiento,NA,128,94884.03729,112,29,128,70,0,0,0,0,0,0,99
1851,164,H2,94,ECATEPEC DE MORELOS,Ecatepec de Morelos,15033,Ecatepec,V,Habitacional popular,Habitacional,NA,146,2094425.049,146,92,164,7,0,0,0,0,0,0,99
1821,14,H2,94,ECATEPEC DE MORELOS,Ecatepec de Morelos,15033,Ecatepec,V,Habitacional popular,Habitacional,NA,149,2768237.405,147,14,148,26,149,47,150,6,158,6,99
1828,105,H2,94,ECATEPEC DE MORELOS,Ecatepec de Morelos,15033,Ecatepec,V,Habitacional popular,Habitacional,NA,162,230114.7544,161,2,162,69,168,5,169,23,0,0,99
1916,42,I3,94,ECATEPEC DE MORELOS,Ecatepec de Morelos,15033,Ecatepec,V,Industrial mediana,Industrial,NA,158,1595957.737,158,86,159,10,162,3,0,0,0,0,99
1935,110,E1,94,ECATEPEC DE MORELOS,Ecatepec de Morelos,15033,Ecatepec,V,Equipamiento,Equipamiento,NA,155,108042.3931,155,79,157,20,0,0,0,0,0,0,99
2242,13,I2,15,IXTAPALUCA,Nezahualcóyotl,15039,Chimalhuacán,III,Industrial ligera,Industrial,NA,194,426688.3413,194,73,195,26,0,0,0,0,0,0,99
3689,1,H2,87,NEZAHUALCÓYOTL,Nezahualcóyotl,15058,Nezahualcoyotl,IX,Habitacional popular,Habitacional,NA,180,4273965.915,178,8,179,20,180,40,181,24,182,7,99
2257,10,H3,15,IXTAPALUCA,Nezahualcóyotl,15039,Chimalhuacán,III,Habitacional interés social,Habitacional,NA,194,254027.2027,194,89,195,6,198,4,0,0,0,0,99
2169,42,H1,95,HUIXQUILUCAN,Naucalpan de Juárez,15037,Naucalpan,VIII,Habitacional precario,Habitacional,NA,100,3831485.321,60,1,100,98,0,0,0,0,0,0,99
2187,4,H3,95,HUIXQUILUCAN,Naucalpan de Juárez,15037,Naucalpan,VIII,Habitacional interés social,Habitacional,NA,101,514614.5016,59,13,100,15,101,71,0,0,0,0,99
2463,5,H2,118,JALTENCO,Ecatepec de Morelos,15044,Zumpango,XVI,Habitacional popular,Habitacional,NA,144,76990.94093,144,83,146,16,0,0,0,0,0,0,99
2460,9,H3,118,JALTENCO,Ecatepec de Morelos,15044,Zumpango,XVI,Habitacional interés social,Habitacional,NA,144,170990.4522,144,71,145,5,164,23,0,0,0,0,99
3525,45,H5,98,NAUCALPAN DE JUÁREZ,Naucalpan de Juárez,15057,Naucalpan,VIII,Habitacional residencial bueno,Habitacional,NA,108,1962614.381,108,61,109,38,0,0,0,0,0,0,99
3618,43,H3,98,NAUCALPAN DE JUÁREZ,Naucalpan de Juárez,15057,Naucalpan,VIII,Habitacional interés social,Habitacional,NA,58,68651.87126,58,76,101,23,0,0,0,0,0,0,99
3759,120,I2,99,NICOLÁS ROMERO,Naucalpan de Juárez,15060,Naucalpan,VIII,Industrial ligera,Industrial,NA,121,2106926.585,121,48,122,17,123,34,0,0,0,0,99
4653,46,E1,47,TECÁMAC,Ecatepec de Morelos,15081,Ecatepec,V,Equipamiento,Equipamiento,NA,167,245437.2089,166,14,167,85,0,0,0,0,0,0,99
6815,24,C2,122,VALLE DE CHALCO SOLIDARIDAD,Nezahualcóyotl,15122,Amecameca,I,Comercial medio,Comercial,NA,194,144877.391,193,12,194,87,0,0,0,0,0,0,99
5326,13,I1,89,TEOTIHUACÁN,Texcoco,15092,Ecatepec,V,Industrial económica,Industrial,NA,171,899951.5753,171,99,0,0,0,0,0,0,0,0,99
5953,152,I2,92,TLALNEPANTLA DE BAZ,Naucalpan de Juárez,15104,Tlalnepantla,XII,Industrial ligera,Industrial,NA,115,94610.9779,115,81,128,8,129,10,0,0,0,0,99
6034,84,E1,92,TLALNEPANTLA DE BAZ,Naucalpan de Juárez,15104,Tlalnepantla,XII,Equipamiento,Equipamiento,NA,140,5360907.837,22,6,139,10,140,66,147,6,149,11,99
6066,75,H2,92,TLALNEPANTLA DE BAZ,Naucalpan de Juárez,15104,Tlalnepantla,XII,Habitacional popular,Habitacional,NA,116,105823.0717,111,24,116,75,0,0,0,0,0,0,99
6067,40,E1,92,TLALNEPANTLA DE BAZ,Naucalpan de Juárez,15104,Tlalnepantla,XII,Equipamiento,Equipamiento,NA,111,174897.4464,111,60,116,39,0,0,0,0,0,0,99
6101,25,H3,92,TLALNEPANTLA DE BAZ,Naucalpan de Juárez,15104,Tlalnepantla,XII,Habitacional interés social,Habitacional,NA,110,68253.23997,19,8,110,73,113,18,0,0,0,0,99
6651,15,H2,8,TULTITLÁN,Ecatepec de Morelos,15109,Tultitlán,XIV,Habitacional popular,Habitacional,NA,138,944601.7365,129,14,137,9,138,69,141,3,142,4,99
6828,26,H2,122,VALLE DE CHALCO SOLIDARIDAD,Nezahualcóyotl,15122,Amecameca,I,Habitacional popular,Habitacional,NA,194,108818.5976,81,12,194,68,199,19,0,0,0,0,99
6908,22,H1,37,VILLA DEL CARBÓN,Naucalpan de Juárez,15112,Cuautitlán Izcalli,IV,Habitacional precario,Habitacional,NA,122,2264129.998,122,99,0,0,0,0,0,0,0,0,99
